num,name,route,presentation,price
223,,IM (exclusivo),Box – 10 AMPOLAS,"167,00"
224,,IM (exclusivo),Box – 10 AMPOLAS,"181,00"
225,,IM (exclusivo),Box – 10 AMPOLAS,"201,00"
226,,IM (exclusivo),Box – 10 AMPOLAS,"238,00"
227,+ Vit K2 (Menaquinona 7) 1000mcg,IM (exclusivo),Box – 10 AMPOLAS,"504,00"
211,"212 Vitamina B12 – Metilcobalamina (2,5%) 25mg/1mL (frasco) 213","Vitamina B12 – Metilcobalamina (2,5%) 50mg",+ Procaína (1%) /2mL (frasco),VALOR (R$)
19,INJETÁVEIS ESSENTIA PHARMA,VIAS DE ADMINISTRAÇÃO,APRESENTAÇÃO,IM (exclusivo)
602,,IM (exclusivo),Box – 10 AMPOLAS,"71,00"
230,,IM (exclusivo),Box – 10 AMPOLAS,"58,00"
231,,IM (exclusivo),Box – 10 AMPOLAS,"315,00"
228,+ Vit K2 (Menaquinona 7) 1000mcg 229,20,Vitamina E – Acetato DL-Alfa Tocoferol,(20%) 200UI/1mL – veículo oleoso
